id,true_0,score_0,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10
0,4.0,9.1218305e-07,8.40568e-08,1.0378461e-07,4.2287944e-08,0.9999769,1.1762664e-06,2.9326566e-07,1.5787924e-07,1.2950282e-07,1.9942929e-05,1.9906217e-07
1,7.0,5.091145e-09,2.2894133e-08,2.2929822e-09,4.3904365e-07,1.6757486e-10,3.6005193e-10,2.8066747e-08,0.99999917,3.435026e-07,2.1574241e-10,1.3761535e-09
2,4.0,6.552268e-06,2.3089542e-06,5.0836225e-06,2.2769475e-08,0.99997723,1.5649964e-06,3.7480635e-08,2.5336047e-07,3.1064022e-07,8.532734e-07,5.7345455e-06
3,9.0,1.4858672e-06,3.903221e-07,1.1846252e-08,2.6785248e-08,2.033362e-08,3.704894e-08,1.822156e-05,4.4548194e-08,2.1161695e-08,0.99997973,3.2443659e-09
4,0.0,0.9999975,8.6801685e-07,5.698943e-07,5.995287e-10,1.2696722e-07,6.1326494e-07,1.9623626e-07,1.852412e-08,1.6398475e-08,7.759152e-08,2.5995108e-08
5,1.0,3.0936772e-06,0.9998754,0.00010523116,7.449673e-08,2.5078435e-08,1.2627216e-05,4.6189052e-07,8.663768e-07,1.2769033e-07,1.9803063e-06,2.0372063e-08
6,9.0,1.00154175e-05,2.0192406e-06,7.809356e-08,3.1759388e-08,5.200885e-07,8.0517094e-07,4.1393403e-05,1.6925883e-07,5.7147222e-08,0.9999448,2.7032252e-08
7,7.0,1.7522195e-06,1.0376223e-06,1.2269763e-07,1.173807e-06,2.8434494e-08,1.08569544e-08,1.0615112e-07,0.9999838,1.0918035e-05,2.735009e-08,9.674857e-07
8,10.0,6.1921406e-09,9.014497e-09,9.913147e-09,1.5751922e-06,8.005687e-07,1.064558e-09,4.0996304e-09,7.925524e-08,2.0122858e-08,3.0975293e-08,0.9999975
9,8.0,4.8545415e-05,2.3720644e-05,8.075058e-05,2.1899337e-05,9.162735e-05,1.3066449e-06,1.177564e-05,3.656975e-05,0.9996666,3.6042738e-07,1.6871865e-05
10,9.0,9.2327284e-08,7.3626394e-09,8.580992e-10,8.3035734e-10,1.2952253e-09,3.639932e-11,6.234381e-08,6.8993655e-09,2.194219e-09,0.9999994,4.2899643e-07
11,0.0,0.99999607,4.3530548e-07,9.589867e-09,8.70916e-11,8.582502e-10,2.9514396e-10,4.6080945e-08,3.7176164e-09,2.798299e-09,3.4295506e-06,1.1000647e-08
12,6.0,9.779139e-07,5.621719e-08,7.0304435e-07,1.2060383e-07,4.160459e-08,1.877697e-05,0.99997795,1.0656129e-07,4.4709873e-07,6.026026e-08,8.3577487e-07
13,6.0,1.2074711e-06,9.1116924e-08,5.446522e-07,1.2690546e-07,6.3301324e-09,1.3884863e-07,0.9999926,2.9685898e-08,2.0423485e-07,4.8140055e-06,1.2122541e-07
