id,true_0,score_0,score_1
0,0.0,0.999966,3.403173e-05
1,1.0,6.825232e-06,0.9999932
2,0.0,0.9997631,0.00023688379
3,1.0,1.0706868e-05,0.9999893
4,0.0,1.0,1.9040824e-09
5,1.0,4.2814377e-06,0.9999957
6,0.0,0.9999794,2.0581358e-05
7,0.0,0.9991049,0.0008950833
8,1.0,7.3192664e-06,0.9999927
9,1.0,2.8137043e-05,0.99997187
10,1.0,1.4812312e-05,0.9999852
11,0.0,0.99990976,9.0184694e-05
12,0.0,0.99996614,3.3879474e-05
13,1.0,0.0015207581,0.9984793
14,1.0,1.06899415e-05,0.9999893
15,1.0,1.0264698e-05,0.99998975
16,1.0,0.00015573135,0.9998442
17,1.0,8.091931e-07,0.99999917
18,0.0,0.99999046,9.525831e-06
19,1.0,7.650569e-07,0.9999993
20,1.0,1.1359372e-05,0.9999887
21,1.0,1.8512353e-06,0.9999981
22,1.0,0.0008308977,0.9991691
23,0.0,0.99999905,9.639189e-07
24,1.0,0.00038910037,0.99961096
25,0.0,0.9998466,0.00015334027
26,0.0,0.9999337,6.631875e-05
27,0.0,1.0,1.7437086e-09
28,1.0,4.6047135e-06,0.99999535
29,0.0,1.0,2.997002e-11
30,1.0,5.1899447e-06,0.99999475
31,1.0,7.497725e-06,0.9999925
32,1.0,2.2336542e-06,0.99999774
33,1.0,3.9428696e-06,0.99999607
34,0.0,0.99999607,3.9136785e-06
35,1.0,2.2388587e-05,0.9999776
36,1.0,6.9922253e-06,0.99999297
37,1.0,8.885296e-05,0.9999112
38,0.0,0.99999845,1.6038998e-06
39,1.0,3.1324028e-06,0.9999969
40,1.0,5.5937755e-07,0.9999994
41,0.0,0.99995327,4.6711844e-05
42,0.0,0.9999471,5.2977433e-05
43,0.0,0.9999895,1.04677965e-05
44,1.0,5.5670247e-05,0.9999443
45,1.0,0.0003031508,0.99969685
46,1.0,3.78648e-06,0.9999962
47,0.0,1.0,1.2433851e-09
48,1.0,8.144499e-06,0.9999919
49,1.0,1.661768e-05,0.99998343
50,1.0,1.4633072e-05,0.99998534
51,1.0,3.0001322e-06,0.999997
52,1.0,1.69249e-05,0.9999831
53,1.0,6.1035098e-05,0.99993896
54,1.0,2.219006e-06,0.99999774
55,0.0,1.0,1.08553495e-08
56,1.0,3.771833e-05,0.99996233
57,1.0,1.0488145e-06,0.9999989
58,0.0,0.9999939,6.0284165e-06
59,1.0,2.7521566e-05,0.99997246
60,1.0,2.3798536e-06,0.9999976
61,1.0,6.77381e-06,0.9999932
62,1.0,1.287957e-05,0.9999871
63,0.0,0.9999999,1.6939686e-07
64,1.0,0.00020284805,0.99979717
65,1.0,4.140943e-06,0.9999958
66,1.0,1.7479957e-05,0.9999825
67,1.0,5.0140705e-05,0.9999498
68,1.0,0.00060073764,0.9993993
69,0.0,0.999941,5.9006135e-05
70,1.0,0.0006284569,0.9993716
71,1.0,3.3270237e-06,0.99999666
72,1.0,2.8762597e-06,0.99999714
73,0.0,0.99977475,0.00022525585
74,0.0,0.99989283,0.00010710109
75,1.0,1.8712608e-06,0.9999981
76,1.0,8.3783885e-07,0.99999917
77,1.0,3.6462363e-05,0.9999635
78,1.0,0.001698711,0.99830127
79,1.0,7.7372286e-05,0.99992263
80,1.0,7.451406e-06,0.9999925
81,1.0,0.0010204255,0.9989795
82,0.0,0.99994934,5.0679406e-05
83,1.0,4.379439e-05,0.99995625
84,1.0,4.5181405e-06,0.99999547
85,1.0,1.8234317e-06,0.9999982
86,1.0,1.2933119e-06,0.9999987
87,1.0,1.1403038e-06,0.9999988
88,1.0,2.1010233e-06,0.99999785
89,1.0,2.1241085e-05,0.9999788
90,1.0,3.5182247e-06,0.9999964
91,1.0,5.2239574e-07,0.9999995
92,1.0,2.222184e-05,0.9999778
93,1.0,2.2883557e-06,0.99999774
94,1.0,1.4604925e-05,0.99998534
95,0.0,1.0,1.14661794e-10
96,0.0,1.0,9.2069086e-10
97,1.0,2.3514299e-06,0.9999976
98,1.0,0.00017066549,0.9998293
99,1.0,2.791909e-06,0.99999726
100,1.0,6.578377e-06,0.99999344
101,0.0,1.0,3.161234e-08
102,1.0,5.4656575e-06,0.9999945
103,1.0,3.0116073e-05,0.99996984
104,1.0,0.0012262693,0.99877375
105,1.0,7.687894e-06,0.9999924
