id,true_0,score_0,score_1,score_2,score_3,score_4
0,0.0,0.18589012,0.14739892,0.28211966,0.25207734,0.13251393
1,2.0,0.20784159,0.21025655,0.28995138,0.18267046,0.109280065
2,3.0,0.13046221,0.15461522,0.3545156,0.22298339,0.13742352
3,0.0,0.37829512,0.16627231,0.25751027,0.11885829,0.07906405
4,0.0,0.3983125,0.18822089,0.22828321,0.118373536,0.06680981
5,0.0,0.19810182,0.1674889,0.31843862,0.18885663,0.12711398
6,0.0,0.2978087,0.15725738,0.30172184,0.13460433,0.108607754
7,0.0,0.1715948,0.15580314,0.31452632,0.22511269,0.13296303
8,0.0,0.20382604,0.21143721,0.2765867,0.18773928,0.12041071
9,0.0,0.57654285,0.12948644,0.16208813,0.08648597,0.04539659
10,1.0,0.2427262,0.25435978,0.24430758,0.15786587,0.10074053
11,0.0,0.48287117,0.16040924,0.18291907,0.10903622,0.06476425
12,0.0,0.4237398,0.19570744,0.19137271,0.12172478,0.06745534
13,3.0,0.22205955,0.20193978,0.28365627,0.1884534,0.10389101
14,2.0,0.19343705,0.14604667,0.30099463,0.21090783,0.14861381
15,2.0,0.17012054,0.16769816,0.33125183,0.22019923,0.11073029
16,0.0,0.15888041,0.18837559,0.29791933,0.20820653,0.14661813
17,2.0,0.515405,0.12139955,0.22948483,0.079102054,0.05460853
18,0.0,0.5598217,0.10405386,0.20184684,0.08211296,0.052164562
19,2.0,0.17436908,0.14460984,0.33435446,0.22404107,0.12262555
20,1.0,0.24757557,0.32784814,0.17879644,0.18288916,0.06289067
21,0.0,0.5326884,0.14231671,0.18717046,0.09112858,0.04669591
22,3.0,0.45246175,0.16742711,0.19716872,0.13442521,0.048517156
23,2.0,0.15368569,0.120207146,0.30250308,0.27943656,0.1441675
24,0.0,0.2765168,0.17975946,0.25012773,0.18775222,0.105843805
25,2.0,0.18546961,0.16195378,0.35062674,0.17865175,0.12329817
26,2.0,0.19809358,0.20469609,0.34245953,0.1657494,0.08900141
27,2.0,0.13911629,0.15407842,0.32132646,0.23560293,0.1498759
28,3.0,0.18164584,0.15037203,0.29780948,0.22820556,0.14196707
29,3.0,0.1575475,0.18868303,0.31067473,0.21852198,0.12457277
30,1.0,0.20757818,0.23687577,0.30243644,0.1540183,0.099091366
31,4.0,0.15250878,0.17409517,0.32280266,0.22280142,0.127792
32,0.0,0.5890698,0.12780648,0.14956963,0.09013951,0.043414615
33,0.0,0.37147596,0.16733979,0.26027745,0.123629384,0.07727746
34,0.0,0.44612604,0.15171497,0.21944147,0.108666435,0.074051104
35,0.0,0.5844308,0.11810996,0.14353473,0.10684507,0.047079388
36,0.0,0.46397755,0.18650499,0.20515284,0.09994593,0.04441872
37,2.0,0.17504281,0.15690331,0.2824904,0.2816527,0.10391077
38,3.0,0.2268902,0.21173455,0.24740328,0.2375865,0.076385416
39,1.0,0.1790153,0.17818767,0.3101838,0.20543852,0.1271747
40,0.0,0.5533937,0.10566676,0.20874909,0.072167985,0.060022447
41,3.0,0.15695524,0.1120777,0.29672998,0.28986633,0.14437066
42,1.0,0.19549908,0.24553078,0.25663006,0.2031513,0.099188805
43,0.0,0.62698877,0.111180864,0.13876684,0.08213844,0.040925175
44,0.0,0.42648476,0.20837323,0.19651449,0.113046594,0.055580936
45,0.0,0.33365536,0.14080524,0.26761264,0.16567028,0.092256464
46,0.0,0.38311368,0.16404712,0.21970358,0.16348457,0.06965108
47,1.0,0.26815903,0.2640284,0.2428591,0.15996468,0.06498885
48,4.0,0.15609889,0.16151316,0.33644617,0.20602791,0.13991389
49,1.0,0.3798629,0.17795427,0.2281584,0.14370161,0.070322804
50,3.0,0.19426073,0.18755835,0.31215495,0.17592373,0.13010217
51,1.0,0.20239446,0.1879662,0.3081731,0.17929259,0.12217366
52,3.0,0.16538543,0.1419108,0.26912907,0.2825335,0.14104123
53,0.0,0.47800922,0.1758873,0.19141296,0.10366549,0.051025003
54,3.0,0.1414168,0.13272935,0.2877803,0.3380014,0.100072086
55,0.0,0.65262836,0.11648854,0.11130131,0.08378403,0.035797734
56,1.0,0.16253118,0.179318,0.31057465,0.21577512,0.13180108
57,0.0,0.586143,0.13948466,0.13779403,0.08958114,0.046997115
58,4.0,0.19082865,0.17414339,0.3470673,0.15556155,0.13239908
59,0.0,0.46260843,0.18368478,0.20022714,0.10344834,0.05003132
60,2.0,0.41338876,0.17614497,0.2323836,0.117224365,0.06085833
61,0.0,0.3390941,0.1576891,0.2656594,0.13981806,0.09773933
62,3.0,0.18913704,0.1589891,0.2818014,0.24627745,0.12379499
63,3.0,0.24023362,0.13813086,0.32258925,0.1800897,0.11895654
64,0.0,0.4323605,0.170072,0.2058377,0.13383238,0.0578974
65,3.0,0.17212722,0.14652634,0.2876362,0.25120232,0.14250791
66,0.0,0.49877113,0.10821222,0.21154733,0.121753834,0.059715554
67,0.0,0.41605675,0.20116526,0.21792322,0.09994054,0.06491416
68,2.0,0.18648028,0.14669499,0.31228378,0.23085292,0.12368798
69,0.0,0.22072166,0.15513209,0.3214809,0.18483843,0.11782693
70,0.0,0.44640058,0.17008473,0.20972133,0.11464167,0.059151705
71,1.0,0.15389504,0.14569752,0.29071572,0.2719801,0.1377116
72,3.0,0.19365674,0.17893758,0.2916354,0.22620675,0.109563515
73,0.0,0.647537,0.10019514,0.13803582,0.080486394,0.033745687
74,3.0,0.32796994,0.20823137,0.23863913,0.14166266,0.083496906
75,0.0,0.7147638,0.09296872,0.08712602,0.067555755,0.03758569
76,2.0,0.24355397,0.18344055,0.3074764,0.15915976,0.10636935
77,3.0,0.30889377,0.29132384,0.18320498,0.15978813,0.056789327
78,0.0,0.43206292,0.15471832,0.2546892,0.087360814,0.07116876
79,2.0,0.49327725,0.14379516,0.19847855,0.11897637,0.04547263
80,4.0,0.16342762,0.15011847,0.2364402,0.30191898,0.14809473
81,0.0,0.33689773,0.15628959,0.25207403,0.1728818,0.08185682
82,2.0,0.14415014,0.16810107,0.3419046,0.22523499,0.12060921
83,3.0,0.17307553,0.12882543,0.2802469,0.27350694,0.14434524
84,0.0,0.3836682,0.16584447,0.2511024,0.12273195,0.07665295
85,1.0,0.21805449,0.34551564,0.19205667,0.17989074,0.06448248
86,0.0,0.64023346,0.11204589,0.12914708,0.08479335,0.03378023
87,0.0,0.7126536,0.06983776,0.12741192,0.058904536,0.031192252
88,0.0,0.4137477,0.1632258,0.22779275,0.11525783,0.07997593
89,3.0,0.3937887,0.14519337,0.22395505,0.18160132,0.05546163
90,0.0,0.21088536,0.17025115,0.26672077,0.23590429,0.116238415
91,3.0,0.20182593,0.18967521,0.32181692,0.17095987,0.11572204
92,2.0,0.14412346,0.14354058,0.33813238,0.23694597,0.1372576
93,2.0,0.235955,0.17149417,0.2775267,0.20027155,0.114752516
94,2.0,0.21818846,0.24399136,0.30226392,0.15132989,0.08422641
95,3.0,0.3222847,0.224412,0.21947634,0.15483382,0.07899316
96,1.0,0.50786257,0.16404846,0.1808764,0.09116376,0.0560488
97,3.0,0.17580684,0.15904371,0.32456514,0.21692221,0.12366208
98,1.0,0.20621197,0.16002408,0.30776656,0.20079498,0.12520239
99,0.0,0.6160557,0.126107,0.15641995,0.07170707,0.029710248
100,1.0,0.19242625,0.24015418,0.30193168,0.1718009,0.09368696
101,0.0,0.56261784,0.12363231,0.16275392,0.10287479,0.048121095
102,0.0,0.71904284,0.07719999,0.124690585,0.05537477,0.023691857
103,4.0,0.24129984,0.18579026,0.26424092,0.18833655,0.120332435
104,1.0,0.18132724,0.19445328,0.3353136,0.1799962,0.10890971
105,0.0,0.4485875,0.18825863,0.21518566,0.093599714,0.054368485
106,0.0,0.24721728,0.14894208,0.29521576,0.1977603,0.11086454
107,3.0,0.17565067,0.1591038,0.29964668,0.21197823,0.15362066
108,0.0,0.28289846,0.16318753,0.2599311,0.21016648,0.08381639
109,0.0,0.57702786,0.14344074,0.14327061,0.08510191,0.051158912
110,0.0,0.18222053,0.16865003,0.30396405,0.21797875,0.12718667
111,0.0,0.38588622,0.19300868,0.20354302,0.14722978,0.070332296
112,0.0,0.4261392,0.18049614,0.2050113,0.12451505,0.06383828
113,0.0,0.60629797,0.09336576,0.17889878,0.073840976,0.047596537
114,0.0,0.52005553,0.13123827,0.19957045,0.08989711,0.059238594
115,1.0,0.1648032,0.16586585,0.2995417,0.23659368,0.13319561
116,0.0,0.18986589,0.17281856,0.33165875,0.18376409,0.12189268
117,0.0,0.64070445,0.09564078,0.1456587,0.06995906,0.048036985
118,0.0,0.5419681,0.13149646,0.164839,0.11685912,0.044837397
119,0.0,0.34712934,0.2035229,0.23702735,0.12184616,0.0904742
120,1.0,0.2240313,0.14423595,0.30229098,0.19903925,0.13040257
121,2.0,0.18123923,0.1579052,0.31795448,0.22082815,0.12207294
122,3.0,0.22661473,0.15499195,0.28952628,0.21908432,0.109782696
123,0.0,0.19723198,0.15354118,0.3447761,0.20412783,0.10032296
124,3.0,0.23704267,0.15428707,0.32801935,0.17551157,0.10513928
125,4.0,0.17804077,0.16744268,0.32393715,0.20749235,0.12308706
126,0.0,0.59322286,0.11685941,0.14528,0.09628548,0.04835219
127,3.0,0.17886785,0.16255295,0.2905827,0.235149,0.13284747
128,4.0,0.22928007,0.15722544,0.2913002,0.18679853,0.1353958
129,1.0,0.22361137,0.34665477,0.18881236,0.1773614,0.06356009
130,2.0,0.20265692,0.20098223,0.29252282,0.16949376,0.13434428
131,1.0,0.19506024,0.18068422,0.28912166,0.2188024,0.116331495
132,0.0,0.4551724,0.17571817,0.20699407,0.10289203,0.059223294
133,3.0,0.1998899,0.14223415,0.2727041,0.23835187,0.14681996
134,1.0,0.21305835,0.23547791,0.26805025,0.18479659,0.09861692
135,0.0,0.504617,0.1457213,0.18210612,0.10022398,0.06733163
136,0.0,0.36316803,0.19453618,0.23419018,0.12872237,0.079383165
137,0.0,0.7287156,0.056664314,0.13478687,0.048545305,0.031287923
138,3.0,0.18651532,0.15106063,0.29607192,0.24857153,0.1177806
139,2.0,0.3416012,0.21272324,0.2447306,0.13944508,0.061499868
140,0.0,0.48788586,0.14869635,0.21073538,0.10510705,0.04757529
141,0.0,0.65116686,0.11092024,0.12521607,0.07457124,0.038125556
142,3.0,0.17168339,0.13073786,0.29122224,0.26525038,0.14110605
143,3.0,0.16350514,0.15982127,0.29077363,0.27822533,0.10767464
144,2.0,0.17694573,0.18724397,0.30963668,0.20600548,0.12016817
145,0.0,0.3839664,0.20963632,0.2188401,0.12308683,0.06447038
146,3.0,0.21203484,0.17044254,0.32562044,0.17288204,0.119020104
147,0.0,0.5096266,0.14958994,0.19315018,0.094150506,0.053482752
148,0.0,0.4223929,0.18565686,0.20896766,0.12170265,0.06127992
149,2.0,0.15599933,0.1917192,0.27667087,0.24452363,0.13108698
150,0.0,0.17670055,0.18919657,0.29029992,0.24110599,0.10269694
151,0.0,0.57142395,0.11504923,0.16789845,0.09572055,0.04990783
152,0.0,0.45140782,0.15903904,0.21579552,0.11535771,0.05839991
153,4.0,0.1569302,0.14973134,0.3137407,0.2336663,0.14593144
154,2.0,0.21618918,0.16457292,0.29791832,0.2031115,0.11820804
155,0.0,0.54392076,0.13719943,0.16628279,0.104589276,0.04800775
156,3.0,0.14715979,0.15330264,0.33853757,0.22714351,0.13385645
157,3.0,0.17884302,0.15408418,0.32105866,0.21813244,0.12788172
158,0.0,0.23146203,0.16023757,0.26588923,0.21698175,0.12542939
159,0.0,0.52151996,0.17302899,0.15536371,0.10415219,0.0459352
160,2.0,0.18053341,0.14450167,0.28919247,0.2461529,0.13961954
161,1.0,0.1805388,0.194405,0.31605685,0.20601402,0.10298532
162,1.0,0.559294,0.12841628,0.1518204,0.10300443,0.05746496
163,3.0,0.17175259,0.19565903,0.27726072,0.2543337,0.100993946
164,3.0,0.2246008,0.14362238,0.3068466,0.2088091,0.11612114
165,0.0,0.49084783,0.14577518,0.19534186,0.11291169,0.055123422
166,0.0,0.65812093,0.1032975,0.13549735,0.071178265,0.03190597
167,2.0,0.16673401,0.12713113,0.3089754,0.2610683,0.13609111
168,0.0,0.63883966,0.114867926,0.13323316,0.07840134,0.034657914
169,0.0,0.6809941,0.094841495,0.12579021,0.069086984,0.029287277
170,3.0,0.19230574,0.14964867,0.26359066,0.25073254,0.14372241
171,4.0,0.13756451,0.1453875,0.35347798,0.21701646,0.14655358
172,2.0,0.19796687,0.16566525,0.3492161,0.17783761,0.10931412
173,0.0,0.57883453,0.114955954,0.14420627,0.1036567,0.058346476
174,0.0,0.34420517,0.18274787,0.25283632,0.13017677,0.09003381
175,4.0,0.18906361,0.14225478,0.25163034,0.27317306,0.1438782
176,2.0,0.17473055,0.14499116,0.32992572,0.2215832,0.12876941
177,0.0,0.6446459,0.11125075,0.11898229,0.08162913,0.043491922
178,1.0,0.20491938,0.18020344,0.3331363,0.16469468,0.117046215
179,4.0,0.20088157,0.22679074,0.27626893,0.17050773,0.12555104
180,0.0,0.3131996,0.14915447,0.29837728,0.12736885,0.11189976
181,2.0,0.14046182,0.15027642,0.3877536,0.19211712,0.12939101
182,2.0,0.283094,0.1866561,0.2684234,0.17672725,0.08509923
183,0.0,0.33209604,0.20311673,0.24874893,0.13909292,0.07694534
184,1.0,0.23749007,0.23135641,0.26983234,0.14970525,0.111615926
185,0.0,0.4179687,0.16007777,0.2404347,0.10934507,0.07217378
186,0.0,0.4310489,0.184149,0.22808836,0.11302373,0.043689948
187,2.0,0.1890908,0.14003642,0.30074406,0.22023095,0.14989772
188,1.0,0.1611984,0.18313271,0.29652503,0.22486173,0.13428213
189,0.0,0.49143934,0.12594292,0.22442523,0.09954251,0.058650047
190,0.0,0.20333837,0.14059947,0.3300909,0.19175835,0.13421285
191,1.0,0.502742,0.14488336,0.20779404,0.08827049,0.056310084
192,2.0,0.22470585,0.22570126,0.2758265,0.17099667,0.102769755
193,2.0,0.2019765,0.1482249,0.33490264,0.20050178,0.11439419
194,0.0,0.3010797,0.17031051,0.2667044,0.15864399,0.10326142
195,3.0,0.18837109,0.1480824,0.29864496,0.22334996,0.14155152
196,2.0,0.3179576,0.14295542,0.31034413,0.13204405,0.09669881
197,2.0,0.19422436,0.16626509,0.3344561,0.18542048,0.11963396
198,2.0,0.14426716,0.14586036,0.37278876,0.20797305,0.12911068
199,2.0,0.41464192,0.1468399,0.23907301,0.11213575,0.08730946
200,1.0,0.45958233,0.15222053,0.23932037,0.09503707,0.05383968
201,0.0,0.68307,0.08918317,0.13394226,0.062405385,0.031399127
202,0.0,0.15967804,0.13532029,0.31566575,0.2471201,0.14221576
203,4.0,0.18608072,0.14117636,0.31736326,0.19294168,0.16243796
204,3.0,0.14751944,0.16331664,0.32942653,0.21157983,0.14815757
205,1.0,0.21432059,0.19425061,0.28403774,0.20099479,0.10639631
206,0.0,0.20169662,0.16850774,0.2904687,0.21599199,0.12333494
207,0.0,0.2147319,0.16224457,0.30901775,0.20954436,0.1044615
208,2.0,0.19510348,0.21023232,0.299566,0.1762268,0.11887144
209,0.0,0.22413942,0.17945193,0.32295144,0.16043656,0.11302071
210,1.0,0.17687012,0.18048812,0.35270882,0.18408439,0.10584861
211,2.0,0.22530238,0.17910022,0.29747236,0.17346272,0.12466233
212,3.0,0.16471462,0.18956272,0.32163343,0.21357894,0.11051029
213,3.0,0.1734361,0.16012992,0.25034478,0.30291802,0.11317121
214,0.0,0.44708663,0.15932566,0.21357451,0.1152659,0.064747296
215,3.0,0.15653428,0.19036984,0.30425096,0.23366253,0.1151824
216,3.0,0.30755273,0.23297982,0.2015043,0.17597888,0.08198428
217,0.0,0.22808824,0.20992512,0.27842054,0.2034831,0.08008295
218,1.0,0.19383945,0.20466296,0.28796265,0.17925306,0.13428189
219,0.0,0.32134223,0.18271339,0.26849282,0.13829261,0.08915897
220,0.0,0.23036475,0.17540379,0.29730585,0.18010773,0.11681788
221,2.0,0.23178607,0.21234366,0.29512787,0.15109052,0.109651916
222,3.0,0.23361474,0.14923015,0.27190214,0.21877165,0.12648131
223,0.0,0.29852036,0.30080882,0.18109432,0.16486382,0.054712664
224,4.0,0.24258952,0.13244918,0.3009862,0.17830485,0.14567025
225,1.0,0.17437284,0.14296417,0.2822028,0.2556704,0.14478981
226,0.0,0.16668183,0.15011606,0.31332034,0.24304295,0.12683879
227,0.0,0.19377962,0.14448956,0.32996252,0.19818828,0.13358009
228,1.0,0.21411626,0.2514009,0.30352458,0.14631991,0.084638335
229,1.0,0.22669004,0.3316894,0.20464526,0.16542788,0.07154745
230,4.0,0.31356505,0.1554,0.27235347,0.14446121,0.11422023
231,0.0,0.59947854,0.11785486,0.15003227,0.08676068,0.04587363
232,4.0,0.16717564,0.1528377,0.31909272,0.21153297,0.14936095
233,3.0,0.17237641,0.17203939,0.30440015,0.22318842,0.12799564
234,0.0,0.59099483,0.13698614,0.13529316,0.09058418,0.04614169
235,0.0,0.22064319,0.14576004,0.31763297,0.20097613,0.114987664
236,2.0,0.16654563,0.15448405,0.34316346,0.19770424,0.13810259
237,3.0,0.16889195,0.15672341,0.30674925,0.2224479,0.14518753
238,2.0,0.17315651,0.14605108,0.33660126,0.21156566,0.1326255
239,0.0,0.4832829,0.12339565,0.20459475,0.12082002,0.06790664
240,0.0,0.5867675,0.135866,0.14016454,0.09491674,0.042285237
241,1.0,0.48522434,0.16408513,0.18271847,0.09894697,0.069025055
242,0.0,0.18162781,0.17229989,0.29251912,0.22233385,0.1312193
243,1.0,0.22527349,0.33814275,0.20059277,0.16808604,0.06790497
244,2.0,0.2312555,0.19087201,0.3033805,0.15473433,0.119757675
245,3.0,0.18281396,0.17091683,0.31035545,0.21672855,0.11918523
246,0.0,0.58087385,0.08081811,0.21445335,0.07407163,0.049783137
